500,1000
270,388
474,156
27,149
236,183
77,184
303,94
230,171
301,400
262,295
37,213
346,193
345,174
80,283
280,339
3,261
272,232
27,223
57,53
97,107
290,151
482,93
68,66
309,6
20,98
192,108
427,336
50,377
312,260
13,307
31,180
234,417
212,116
428,95
141,42
134,334
190,254
16,94
180,302
427,328
121,255
246,244
276,460
386,245
500,393
447,318
355,169
183,133
317,492
190,243
187,218
179,370
285,92
268,151
47,167
138,262
500,130
431,470
152,20
166,282
22,92
322,120
99,156
114,444
20,438
240,221
251,342
350,56
381,436
425,165
46,490
447,94
80,273
231,273
487,4
293,241
340,150
294,85
245,233
75,153
450,14
19,418
268,480
174,427
111,461
264,99
496,86
376,401
498,114
4,460
42,280
183,406
209,280
306,252
326,88
45,311
67,482
447,186
84,11
195,80
153,291
342,481
292,72
240,289
475,15
211,468
79,413
457,107
381,64
270,180
162,25
370,183
257,337
294,391
347,243
321,389
117,334
238,381
156,354
105,119
411,36
251,47
470,157
287,440
2,468
323,90
37,353
348,338
339,244
215,282
447,188
94,368
183,259
418,283
372,153
234,206
405,186
339,389
210,346
435,6
266,461
90,289
190,361
309,344
414,39
221,472
437,372
93,361
299,262
459,128
263,293
137,366
157,452
114,305
23,85
312,294
33,370
179,500
338,276
226,189
483,234
370,250
448,5
302,29
340,357
425,360
337,266
446,102
27,79
455,124
387,74
138,368
340,158
93,382
348,57
297,368
442,201
82,390
458,456
213,500
47,205
180,307
379,281
382,451
417,167
398,94
460,184
171,181
65,366
53,433
404,134
302,144
7,233
394,178
383,156
359,70
206,170
411,188
370,166
340,95
35,384
28,129
254,155
364,98
407,349
402,319
44,223
335,374
427,101
243,270
368,190
234,232
478,499
333,30
387,219
106,42
442,460
391,260
285,247
293,428
436,461
48,414
364,281
265,202
340,425
385,151
69,211
442,249
219,424
155,47
97,170
89,372
153,123
56,303
186,80
477,285
334,46
336,394
118,110
91,440
114,58
375,331
335,124
351,274
4,468
378,370
370,435
305,97
23,119
405,63
333,191
340,15
361,473
242,42
367,271
79,231
61,46
54,58
193,470
447,12
422,86
450,266
400,45
24,6
297,276
15,179
413,62
484,282
331,9
171,72
248,296
35,170
365,387
341,26
334,97
4,185
27,429
183,394
371,294
141,33
207,66
368,97
147,359
106,462
228,302
30,156
206,333
163,464
448,26
214,19
393,316
435,423
158,75
24,397
281,427
272,324
290,344
143,113
473,482
287,79
196,41
380,234
104,78
179,254
166,301
317,362
120,481
414,493
293,288
292,178
216,333
16,463
9,107
225,49
94,254
266,179
440,115
118,317
268,40
196,160
312,394
430,16
38,39
274,226
307,475
373,322
333,136
302,286
199,304
231,264
406,334
408,142
92,291
469,101
247,369
63,360
